NAME	TITLE	SCORE	
HHLA2	HERV-H LTR-associating 2 [Source:HGNC Symbol;Acc:HGNC:4905]	0.11733058	
ULK3	unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703]	0.117306225	
TRPC6	transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]	0.11729713	
IFITM3P8	IFITM3 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:54547]	0.11727571	
LINC01993	long intergenic non-protein coding RNA 1993 [Source:HGNC Symbol;Acc:HGNC:52826]	0.1172749	
IGLV2-28	immunoglobulin lambda variable 2-28 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5891]	0.117263585	
AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	0.11725574	
TRBV20-1	T cell receptor beta variable 20-1 [Source:HGNC Symbol;Acc:HGNC:12196]	0.117252976	
GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	0.117241666	
MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	0.11714573	
EEF1B2P6	eukaryotic translation elongation factor 1 beta 2 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51453]	0.11714261	
RN7SL498P	RNA, 7SL, cytoplasmic 498, pseudogene [Source:HGNC Symbol;Acc:HGNC:46514]	0.117071986	
OR4Q3	olfactory receptor family 4 subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:15426]	0.11707089	
ITCH-IT1	ITCH intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41397]	0.11697244	
LENG9	leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]	0.11690047	
CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	0.11679262	
CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	0.11676358	
CFAP221	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]	0.11675719	
OR2W6P	olfactory receptor family 2 subfamily W member 6 pseudogene [Source:HGNC Symbol;Acc:HGNC:15072]	0.11674731	
MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	0.116743945	
STRIP2	striatin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:22209]	0.116739206	
FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	0.116725065	
RPS4XP11	ribosomal protein S4X pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:37013]	0.11671915	
MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	0.116677485	
COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	0.116670735	
DCAF17	DDB1 and CUL4 associated factor 17 [Source:HGNC Symbol;Acc:HGNC:25784]	0.11662683	
DNASE1L1	deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]	0.11662277	
NAP1L4	nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]	0.116621256	
RPSAP54	ribosomal protein SA pseudogene 54 [Source:HGNC Symbol;Acc:HGNC:36373]	0.11661465	
FCF1P1	FCF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44613]	0.11658537	
BNIP3P5	BCL2 interacting protein 3 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39658]	0.11657949	
MIR635	microRNA 635 [Source:HGNC Symbol;Acc:HGNC:32891]	0.11654187	
VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	0.11649443	
EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	0.11646257	
IGHV1-18	immunoglobulin heavy variable 1-18 [Source:HGNC Symbol;Acc:HGNC:5549]	0.116454	
GSG1	germ cell associated 1 [Source:HGNC Symbol;Acc:HGNC:19716]	0.1164028	
SINHCAFP2	SINHCAF pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31737]	0.116374545	
ZNF311	zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]	0.116335206	
PARTICL	promoter of MAT2A antisense radiation-induced circulating long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:50886]	0.11621784	
WBP11P2	WBP11 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54786]	0.11620731	
MIR598	microRNA 598 [Source:HGNC Symbol;Acc:HGNC:32854]	0.116181366	
CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	0.11616155	
ZNF217-AS1	novel transcript, antisense to ZNF217	0.11613952	
ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	0.11609954	
RNGTT	RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]	0.11608029	
RN7SKP70	RN7SK pseudogene 70 [Source:HGNC Symbol;Acc:HGNC:45794]	0.11606362	
AZIN2	antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]	0.11601262	
GAR1-DT	GAR1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55191]	0.11591058	
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]	0.11587724	
HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	0.11575833	
CDKL4	cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]	0.11566485	
LINC01558	long intergenic non-protein coding RNA 1558 [Source:HGNC Symbol;Acc:HGNC:21235]	0.11566108	
PYCR2	pyrroline-5-carboxylate reductase 2 [Source:HGNC Symbol;Acc:HGNC:30262]	0.11564419	
CYP2W1	cytochrome P450 family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:20243]	0.11561911	
DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	0.11560753	
RN7SKP193	RN7SK pseudogene 193 [Source:HGNC Symbol;Acc:HGNC:45917]	0.11560443	
PKD1P2	polycystin 1, transient receptor potential channel interacting pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:30066]	0.115603186	
ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	0.11555193	
PAXBP1-AS1	PAXBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39603]	0.115517706	
GAGE12B	G antigen 12B [Source:HGNC Symbol;Acc:HGNC:26779]	0.11531765	
SLC45A1	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]	0.1152826	
FAM86B1	family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]	0.11528101	
PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	0.115253836	
RN7SL127P	RNA, 7SL, cytoplasmic 127, pseudogene [Source:HGNC Symbol;Acc:HGNC:46143]	0.1152192	
TXNDC9	thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]	0.11515469	
LIPJ	lipase family member J [Source:HGNC Symbol;Acc:HGNC:21773]	0.1150204	
BRF2	BRF2 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:17298]	0.11496053	
PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	0.11495682	
TRBV25OR9-2	T cell receptor beta variable 25/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12206]	0.11478255	
TBC1D24	TBC1 domain family member 24 [Source:HGNC Symbol;Acc:HGNC:29203]	0.11475863	
LRRC36	leucine rich repeat containing 36 [Source:HGNC Symbol;Acc:HGNC:25615]	0.11475318	
FBXO34-AS1	FBXO34 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55450]	0.114699945	
SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	0.11466476	
ENSG00000287181	novel transcript	0.11463801	
PSME2P3	proteasome activator subunit 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:30156]	0.114613384	
BNIP5	BCL2 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:33769]	0.11449411	
BRME1	break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]	0.11447295	
POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	0.114411615	
OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25823]	0.11440875	
LINC01764	long intergenic non-protein coding RNA 1764 [Source:HGNC Symbol;Acc:HGNC:52553]	0.114397846	
GPSM1	G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]	0.11438155	
GYG2P1	glycogenin 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4701]	0.11424549	
HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1 [Source:HGNC Symbol;Acc:HGNC:37117]	0.114202686	
FBXL8	F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875]	0.114151604	
AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	0.11414485	
CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	0.11414046	
TMEM11-DT	TMEM11 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55671]	0.11413482	
EIF2AK1P1	EIF2AK1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56553]	0.114128724	
ST13P12	ST13, Hsp70 interacting protein pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:38787]	0.11412801	
LINC02886	long intergenic non-protein coding RNA 2886 [Source:HGNC Symbol;Acc:HGNC:54867]	0.11408211	
VAT1L	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	0.11406677	
CNKSR1	connector enhancer of kinase suppressor of Ras 1 [Source:HGNC Symbol;Acc:HGNC:19700]	0.113992326	
RN7SL65P	RNA, 7SL, cytoplasmic 65, pseudogene [Source:HGNC Symbol;Acc:HGNC:46081]	0.113926426	
MPND	MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]	0.11391128	
ANKRD42	ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752]	0.113895275	
SNORA16B	small nucleolar RNA, H/ACA box 16B [Source:HGNC Symbol;Acc:HGNC:32606]	0.113886245	
EEF1DP7	eukaryotic translation elongation factor 1 delta pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51457]	0.11385093	
TOR1AIP2	torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]	0.11382108	
TSSK3	testis specific serine kinase 3 [Source:HGNC Symbol;Acc:HGNC:15473]	0.11382074	
XRCC1	X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]	0.11381286	
CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	0.113810286	
SUMF2	sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415]	0.11379412	
TREML3P	triggering receptor expressed on myeloid cells like 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:30806]	0.113641776	
RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	0.1136337	
RNF182	ring finger protein 182 [Source:HGNC Symbol;Acc:HGNC:28522]	0.113564305	
HMGN2P15	high mobility group nucleosomal binding domain 2 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:39020]	0.113468416	
RDH14	retinol dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:19979]	0.1133777	
CPNE8-AS1	CPNE8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53937]	0.1133293	
ATP10D	ATPase phospholipid transporting 10D (putative) [Source:HGNC Symbol;Acc:HGNC:13549]	0.11328168	
SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	0.113173746	
MACORIS	macrophage enriched lincRNA repressor of IFN-gamma signaling [Source:HGNC Symbol;Acc:HGNC:53963]	0.11316013	
KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	0.11310829	
APBB3	amyloid beta precursor protein binding family B member 3 [Source:HGNC Symbol;Acc:HGNC:20708]	0.1131009	
FANCD2OS	FANCD2 opposite strand [Source:HGNC Symbol;Acc:HGNC:28623]	0.11305121	
RNU105B	RNA, U105B small nucleolar [Source:HGNC Symbol;Acc:HGNC:10103]	0.113004595	
ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	0.11299623	
PTPN7	protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]	0.1129542	
TMPRSS4	transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]	0.11290725	
NACAP8	NACA pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:49490]	0.11286014	
CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	0.112832904	
SVBP	small vasohibin binding protein [Source:HGNC Symbol;Acc:HGNC:29204]	0.112826124	
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	0.11282016	
PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	0.11281455	
TRBV29-1	T cell receptor beta variable 29-1 [Source:HGNC Symbol;Acc:HGNC:12210]	0.11279866	
RAB5B	RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]	0.11271725	
SYT16	synaptotagmin 16 [Source:HGNC Symbol;Acc:HGNC:23142]	0.11271258	
FOXJ2	forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]	0.112700604	
UGCG	UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]	0.11269052	
LINC01288	long intergenic non-protein coding RNA 1288 [Source:HGNC Symbol;Acc:HGNC:50353]	0.11266375	
CHCHD2P2	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39586]	0.112633616	
MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	0.11262445	
ABRAXAS1P1	ABRAXAS1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56461]	0.11261883	
RBBP4P5	RBBP4 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42372]	0.11261662	
ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	0.1125784	
RNU6-1228P	RNA, U6 small nuclear 1228, pseudogene [Source:HGNC Symbol;Acc:HGNC:48191]	0.11253713	
APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]	0.112507805	
TMEM150A	transmembrane protein 150A [Source:HGNC Symbol;Acc:HGNC:24677]	0.112458155	
MIR202HG	MIR202 host gene [Source:HGNC Symbol;Acc:HGNC:49402]	0.11245634	
RPL9P7	ribosomal protein L9 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:30335]	0.112395	
C17orf97	chromosome 17 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:33800]	0.11237026	
IRF2BP1	interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21728]	0.11235695	
LYSET	lysosomal enzyme trafficking factor [Source:HGNC Symbol;Acc:HGNC:20218]	0.11233888	
LINC02284	long intergenic non-protein coding RNA 2284 [Source:HGNC Symbol;Acc:HGNC:53201]	0.11229706	
RN7SKP9	RN7SK pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:42627]	0.11229647	
OTX2-AS1	OTX2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:43906]	0.11228583	
ENSG00000188897	novel lipoprotein amino terminal region containing protein	0.11220659	
ENSG00000230707	novel protein (LOC389895)	0.11217626	
SNORA31B	small nucleolar RNA, H/ACA box 31B [Source:NCBI gene (formerly Entrezgene);Acc:109616966]	0.11217134	
ENSG00000250274	novel transcript	0.11216267	
KCNK2	potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]	0.11211065	
PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	0.11208755	
TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	0.11202864	
LINC02210	long intergenic non-protein coding RNA 2210 [Source:HGNC Symbol;Acc:HGNC:26327]	0.11194262	
NXT1-AS1	NXT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40734]	0.11189955	
TMSB10P1	thymosin beta 10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41949]	0.1118857	
PARP1P1	poly(ADP-ribose) polymerase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:275]	0.111871935	
TSSK6	testis specific serine kinase 6 [Source:HGNC Symbol;Acc:HGNC:30410]	0.11185513	
RN7SKP55	RN7SK pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:45779]	0.1118444	
MRGBP	MRG domain binding protein [Source:HGNC Symbol;Acc:HGNC:15866]	0.11177579	
RN7SL732P	RNA, 7SL, cytoplasmic 732, pseudogene [Source:HGNC Symbol;Acc:HGNC:46748]	0.11168936	
AP3S2	adaptor related protein complex 3 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:571]	0.111654095	
CMIP	c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]	0.11159313	
SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	0.11157269	
NADK2	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	0.11144914	
WDTC1	WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]	0.11143628	
YIPF3	Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]	0.11143466	
SLC5A2	solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	0.11140333	
RN7SKP86	RN7SK pseudogene 86 [Source:HGNC Symbol;Acc:HGNC:45810]	0.11138681	
TRBV6-6	T cell receptor beta variable 6-6 [Source:HGNC Symbol;Acc:HGNC:12231]	0.11130985	
ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	0.11129254	
RPL7P16	ribosomal protein L7 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36591]	0.11127304	
CEP104	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	0.11126213	
REM1	RRAD and GEM like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:15922]	0.111243464	
ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	0.11123193	
PKMP1	pyruvate kinase M1/2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44243]	0.11118457	
TMC4	transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]	0.11116394	
DERL1	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]	0.11116372	
PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	0.11115884	
NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	0.11115839	
NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	0.111064985	
HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	0.11096694	
ZNF319	zinc finger protein 319 [Source:HGNC Symbol;Acc:HGNC:13644]	0.110944025	
ITGAL-AS1	novel transcript, antisense to ITGAL	0.11094243	
RHOG2P	RHOG family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:54953]	0.110913776	
SPRYD7	SPRY domain containing 7 [Source:HGNC Symbol;Acc:HGNC:14297]	0.11085602	
MBD5	methyl-CpG binding domain protein 5 [Source:HGNC Symbol;Acc:HGNC:20444]	0.11085422	
GIMAP3P	GTPase, IMAP family member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:30975]	0.11085151	
BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	0.110840164	
FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	0.110799916	
PRDM14	PR/SET domain 14 [Source:HGNC Symbol;Acc:HGNC:14001]	0.110762455	
EFCAB3P1	EFCAB3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56232]	0.11075027	
RHOQ	ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]	0.11066662	
FTO	FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]	0.11066652	
RAB6C-AS1	RAB6C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49278]	0.110655874	
ID4	inhibitor of DNA binding 4 [Source:HGNC Symbol;Acc:HGNC:5363]	0.11065259	
RN7SL350P	RNA, 7SL, cytoplasmic 350, pseudogene [Source:HGNC Symbol;Acc:HGNC:46366]	0.110652536	
LINC00309	long intergenic non-protein coding RNA 309 [Source:HGNC Symbol;Acc:HGNC:25279]	0.11063726	
CHRNG	cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]	0.110556245	
PHF10P1	PHD finger protein 10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23210]	0.11051414	
ENSG00000249574	novel transcript	0.11043019	
CES4A	carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]	0.11042915	
B3GAT3	beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]	0.11041443	
ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	0.11032602	
ARHGEF38	Rho guanine nucleotide exchange factor 38 [Source:HGNC Symbol;Acc:HGNC:25968]	0.11030562	
FAM3D	FAM3 metabolism regulating signaling molecule D [Source:HGNC Symbol;Acc:HGNC:18665]	0.110176064	
GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37979]	0.11015446	
ZNF641	zinc finger protein 641 [Source:HGNC Symbol;Acc:HGNC:31834]	0.11008905	
GCSIR	GPR55 cis regulatory suppressor of immune response RNA [Source:HGNC Symbol;Acc:HGNC:54400]	0.11007609	
C6orf226	chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431]	0.11006452	
TRBV7-5	T cell receptor beta variable 7-5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12239]	0.1100607	
ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	0.11001019	
RSU1	Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]	0.11000564	
ENSG00000236064	novel transcript, antisense to MID2	0.109933525	
IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	0.109918155	
RPS2P46	ribosomal protein S2 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:35839]	0.10988333	
HNRNPCP4	heterogeneous nuclear ribonucleoprotein C pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:48816]	0.1098678	
KMT5C	lysine methyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:28405]	0.10984802	
POTEE	POTE ankyrin domain family member E [Source:HGNC Symbol;Acc:HGNC:33895]	0.109827444	
LRRC51	leucine rich repeat containing 51 [Source:HGNC Symbol;Acc:HGNC:55526]	0.10979485	
CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	0.109750226	
SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	0.10972265	
RPL29P11	ribosomal protein L29 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36905]	0.10969656	
HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	0.10967861	
RPL31P49	ribosomal protein L31 pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:35909]	0.1096194	
NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	0.1096153	
CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	0.109561406	
SHOC1	shortage in chiasmata 1 [Source:HGNC Symbol;Acc:HGNC:26535]	0.109514244	
OPN5	opsin 5 [Source:HGNC Symbol;Acc:HGNC:19992]	0.109475754	
PRKG1-AS1	PRKG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45029]	0.109475724	
SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	0.1094753	
ZNF346	zinc finger protein 346 [Source:HGNC Symbol;Acc:HGNC:16403]	0.10946005	
ADAT3	adenosine deaminase tRNA specific 3 [Source:HGNC Symbol;Acc:HGNC:25151]	0.10941727	
WDR41	WD repeat domain 41 [Source:HGNC Symbol;Acc:HGNC:25601]	0.109398104	
PER2	period circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:8846]	0.109374076	
CARF	calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]	0.10936794	
TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	0.10936427	
KLHL4	kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	0.10935687	
RN7SL151P	RNA, 7SL, cytoplasmic 151, pseudogene [Source:HGNC Symbol;Acc:HGNC:46167]	0.10934602	
SLC10A3	solute carrier family 10 member 3 [Source:HGNC Symbol;Acc:HGNC:22979]	0.109314226	
MIR222HG	miR222/221 cluster host gene [Source:HGNC Symbol;Acc:HGNC:49555]	0.10928841	
SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	0.10928315	
NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	0.109237395	
HAND2-AS1	HAND2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48872]	0.10923702	
MAJIN	membrane anchored junction protein [Source:HGNC Symbol;Acc:HGNC:27441]	0.1092173	
SDCBPP3	syndecan binding protein pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44687]	0.109169535	
USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	0.1091302	
ANKUB1	ankyrin repeat and ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29642]	0.10910357	
POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	0.10909656	
PPP1R12C	protein phosphatase 1 regulatory subunit 12C [Source:HGNC Symbol;Acc:HGNC:14947]	0.109038986	
STPG3	sperm-tail PG-rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:37285]	0.10900078	
RPEP4	ribulose-5-phosphate-3-epimerase pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44523]	0.108965255	
ISCA2	iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]	0.108937666	
NUTM2B-AS1	NUTM2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51204]	0.1089368	
E2F5-DT	E2F5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55393]	0.10889623	
MKLN1	muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]	0.10887251	
TRAPPC8	trafficking protein particle complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:29169]	0.10886772	
